 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
6114,1138.792,3724.483,2365.261,2970.020,2422.427,2902.827,3000.902,2426.770,1847.769,2935.843,1871.451,2209.964,1941.066,2293.664,1733.914,2127.999,1624.581,1915.143,2560.727,2918.438,2508.716,2436.783,2579.701,2022.951,2113.213,2941.088,2193.996,1844.365,1716.315,2988.734
6115,1115.847,3705.626,2393.880,2964.521,2453.771,2843.280,3020.826,2430.031,1880.123,2923.037,1855.029,2228.325,1968.398,2294.848,1714.562,2151.722,1645.210,1898.825,2580.900,2917.577,2479.035,2418.897,2592.493,2000.583,2113.564,2951.341,2181.494,1824.088,1719.401,3012.118
6116,1130.944,3695.867,2382.711,2961.534,2411.189,2769.056,3059.678,2415.316,1858.634,2926.759,1874.115,2235.261,1959.891,2317.023,1720.034,2128.875,1640.510,1903.041,2617.772,2917.423,2494.359,2409.222,2580.802,2024.855,2086.308,2942.994,2194.471,1833.832,1719.766,2990.124
6117,1108.509,3689.260,2367.862,2963.098,2436.867,2665.408,3010.112,2414.486,1837.165,2946.202,1856.013,2205.240,1946.489,2334.677,1735.948,2141.198,1628.976,1889.539,2588.118,2911.370,2507.332,2394.198,2572.593,2046.049,2094.921,2934.721,2201.646,1847.707,1709.634,3009.832
6118,1133.718,3670.222,2355.371,2973.241,2406.896,2576.080,3005.976,2410.385,1846.435,2947.576,1855.706,2207.781,1953.697,2320.906,1732.339,2155.517,1618.499,1909.432,2551.926,2887.360,2488.453,2438.412,2565.683,2025.005,2093.130,2933.906,2189.669,1834.229,1711.032,3004.566
6119,1126.352,3652.756,2360.102,2971.402,2407.246,2522.341,3007.383,2441.315,1861.382,2926.506,1870.372,2220.522,1953.424,2300.212,1720.699,2143.932,1614.838,1902.099,2542.581,2883.621,2462.480,2409.742,2578.512,2031.515,2100.776,2945.936,2194.163,1829.757,1712.008,3006.675
6120,1123.269,3670.084,2381.722,2985.095,2406.773,2469.941,3001.836,2429.663,1860.686,2909.254,1862.995,2237.164,1968.208,2325.428,1717.219,2161.025,1632.049,1903.035,2537.976,2880.734,2478.196,2428.946,2584.446,2042.482,2094.615,2936.388,2198.170,1814.090,1720.504,3023.094
6121,1124.324,3631.823,2346.880,2989.546,2384.977,2403.654,3029.387,2420.853,1850.917,2896.018,1877.672,2221.373,1958.577,2307.218,1732.383,2162.344,1636.741,1909.942,2550.080,2880.890,2464.486,2445.496,2574.036,2041.567,2078.546,2946.129,2184.220,1835.021,1706.413,3030.390
6122,1135.491,3629.959,2358.950,2965.542,2371.989,2335.893,3005.618,2414.629,1841.728,2939.599,1853.042,2232.198,1963.212,2321.087,1729.186,2135.430,1622.548,1889.484,2506.798,2862.806,2464.875,2434.966,2564.509,2045.521,2083.353,2922.078,2185.972,1818.430,1713.276,3022.664
6123,1128.898,3599.976,2366.644,2981.621,2379.472,2280.281,2995.524,2403.305,1861.433,2932.368,1845.729,2218.102,1943.471,2308.939,1746.840,2128.906,1591.602,1933.070,2519.884,2850.064,2478.825,2440.093,2572.530,2020.546,2073.454,2923.867,2192.325,1821.548,1711.061,3009.520
6124,1137.421,3626.904,2377.275,2965.548,2363.570,2233.932,3029.840,2416.137,1851.241,2952.833,1829.732,2211.726,1973.464,2334.887,1737.362,2135.015,1647.988,1926.726,2522.084,2868.297,2451.119,2429.121,2579.778,2031.715,2080.982,2924.438,2185.434,1831.032,1717.348,3007.401
6125,1119.407,3626.145,2376.717,2969.665,2363.566,2221.046,3003.721,2415.777,1875.233,2964.744,1860.625,2232.383,1961.634,2337.026,1734.866,2194.751,1639.320,1914.939,2526.956,2841.817,2454.543,2417.967,2587.217,2058.924,2084.728,2941.573,2188.311,1828.697,1706.866,2995.510
6126,1133.681,3599.772,2407.074,2980.919,2359.134,2171.819,2994.770,2416.456,1879.789,2961.062,1869.302,2216.421,1948.310,2318.582,1734.802,2172.419,1632.207,1902.114,2468.597,2844.584,2498.524,2399.218,2554.266,2032.327,2068.829,2916.741,2174.745,1836.025,1714.438,2990.873
6127,1122.213,3591.417,2371.097,2956.794,2360.200,2130.292,2981.526,2402.788,1864.268,2962.528,1881.440,2235.486,1960.072,2323.854,1733.524,2156.779,1655.756,1918.184,2488.395,2842.630,2519.284,2426.502,2569.211,2055.040,2075.878,2923.474,2195.571,1829.615,1711.401,2970.139
6128,1109.532,3569.182,2367.864,2939.496,2362.143,2081.514,2975.354,2404.409,1859.537,2972.206,1857.451,2240.357,1960.943,2321.060,1721.107,2143.430,1649.344,1889.233,2449.038,2865.822,2467.217,2419.481,2559.321,2043.745,2073.159,2931.241,2186.926,1823.704,1717.164,2975.682
6129,1128.333,3579.324,2399.522,2949.044,2368.170,2046.792,3023.502,2397.732,1878.807,2971.270,1857.672,2235.479,1966.905,2307.625,1723.186,2149.213,1656.259,1906.327,2447.355,2849.934,2475.779,2398.656,2570.127,2053.575,2065.483,2930.884,2174.878,1821.212,1723.004,2952.814
6130,1117.718,3580.825,2403.151,2950.041,2384.330,2048.070,3018.291,2413.640,1882.249,2986.592,1874.977,2240.723,1964.644,2323.919,1713.860,2143.005,1653.214,1903.717,2428.890,2819.259,2457.547,2423.438,2587.458,2041.747,2062.700,2927.881,2182.380,1834.815,1703.022,2949.613
6131,1128.130,3589.067,2394.502,2927.275,2392.199,2042.200,3021.740,2413.124,1883.396,3006.597,1856.542,2219.301,1965.996,2340.750,1728.113,2155.231,1655.617,1922.312,2428.677,2795.105,2456.121,2417.866,2570.636,2048.481,2058.990,2920.927,2178.589,1828.102,1716.063,2953.173
6132,1123.759,3610.790,2375.395,2931.786,2360.620,1978.354,3008.240,2429.608,1863.644,2991.933,1874.526,2236.315,1960.707,2326.250,1743.432,2154.866,1660.922,1891.394,2410.613,2850.916,2441.572,2389.856,2577.381,2041.323,2076.385,2934.496,2195.467,1849.794,1714.598,2939.879
