 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
141,732.529,1612.927,1415.503,1231.479,890.720,1096.387,1047.586,919.244,1209.601,1523.245,1377.691,1219.952,1487.766,1003.882
142,730.995,1616.939,1416.223,1232.592,891.010,1098.602,1047.515,921.690,1211.391,1526.892,1376.356,1226.206,1489.554,1008.506
143,734.471,1615.106,1412.535,1236.432,894.533,1100.429,1047.151,922.421,1212.518,1525.477,1374.350,1224.342,1486.689,1002.560
144,724.370,1611.019,1413.360,1229.334,889.448,1095.231,1042.263,916.624,1210.251,1518.097,1362.034,1222.161,1481.886,998.986
145,721.510,1608.129,1411.580,1230.009,890.068,1097.015,1044.652,918.444,1214.332,1523.770,1375.065,1222.543,1483.857,998.463
146,726.664,1619.453,1416.518,1235.053,892.716,1100.287,1046.021,920.290,1215.495,1523.929,1372.613,1224.506,1489.462,1009.100
147,729.142,1614.948,1412.099,1228.835,889.563,1094.224,1042.875,918.776,1209.201,1517.162,1365.151,1211.847,1480.261,997.791
148,731.922,1611.168,1410.292,1231.957,891.803,1097.547,1043.685,918.155,1210.284,1522.787,1367.846,1221.610,1485.456,1006.954
149,727.463,1613.714,1409.255,1230.266,889.505,1089.190,1040.105,920.116,1210.411,1515.914,1367.721,1223.033,1475.874,1002.994
150,734.449,1616.082,1414.711,1232.359,891.996,1093.911,1042.463,921.429,1213.060,1521.166,1366.017,1226.509,1478.234,1003.535
151,722.549,1613.233,1408.068,1231.404,891.828,1093.994,1040.551,919.718,1213.786,1519.209,1371.847,1219.373,1482.506,1003.623
152,721.012,1612.442,1408.154,1227.665,889.002,1091.700,1036.989,917.475,1207.539,1521.776,1369.242,1214.169,1468.599,1001.416
153,728.953,1616.680,1413.186,1230.452,891.325,1095.829,1041.099,919.054,1213.547,1520.089,1365.091,1218.677,1479.068,1007.402
154,732.059,1614.271,1414.283,1227.503,889.929,1094.675,1044.275,920.904,1213.969,1524.127,1369.892,1220.618,1475.098,1005.755
155,721.490,1619.306,1413.648,1231.167,891.061,1100.401,1042.977,922.305,1217.626,1524.956,1371.180,1226.470,1477.898,1007.086
156,727.025,1613.782,1412.291,1224.055,889.645,1093.001,1043.028,912.772,1212.612,1518.491,1369.052,1220.183,1464.825,1001.402
157,735.762,1618.124,1416.001,1230.612,893.890,1098.365,1047.612,918.643,1211.862,1519.984,1366.995,1219.744,1472.317,1010.052
158,730.370,1616.272,1414.649,1230.615,892.909,1099.446,1044.442,918.364,1213.100,1520.006,1367.832,1228.609,1479.397,1003.031
159,735.007,1615.364,1412.483,1231.650,894.482,1095.717,1045.975,920.458,1216.016,1526.277,1368.852,1225.114,1479.969,1007.442
160,737.471,1617.443,1412.094,1230.013,890.822,1093.528,1044.795,917.761,1217.817,1519.157,1371.172,1220.809,1479.414,1004.322
161,723.551,1616.582,1412.049,1231.582,894.446,1096.087,1047.724,919.830,1215.675,1515.755,1369.538,1218.293,1477.325,1001.528
162,716.929,1606.707,1412.370,1229.224,889.915,1095.691,1042.045,916.697,1215.271,1515.904,1367.047,1224.340,1475.003,1001.920
163,720.306,1611.154,1413.498,1227.379,890.190,1095.614,1043.950,916.330,1216.516,1521.587,1358.452,1224.416,1473.797,994.820
164,723.789,1612.476,1409.513,1225.646,890.000,1092.537,1040.689,918.310,1211.040,1515.827,1362.723,1221.477,1481.491,998.922
165,726.289,1614.889,1419.936,1230.457,889.436,1097.607,1042.797,919.658,1215.878,1512.878,1373.230,1224.576,1469.927,999.797
166,726.711,1613.108,1409.357,1227.503,886.608,1091.893,1041.234,916.292,1215.910,1514.816,1361.079,1223.942,1471.150,998.417
167,729.235,1612.656,1421.152,1227.191,889.390,1098.342,1045.698,919.978,1216.659,1513.422,1365.951,1225.720,1468.023,997.699
168,723.510,1614.949,1416.239,1228.049,889.717,1096.860,1037.944,916.593,1215.421,1514.909,1360.069,1226.611,1468.302,996.003
169,711.743,1615.569,1418.987,1227.876,889.849,1097.159,1041.232,920.490,1215.617,1517.184,1369.783,1231.349,1465.793,1002.022
170,730.858,1620.128,1418.901,1228.565,891.995,1100.848,1045.464,921.276,1217.675,1513.255,1366.320,1230.810,1466.400,996.357
171,724.456,1617.069,1418.537,1226.007,889.803,1096.511,1039.632,919.100,1220.000,1510.444,1363.964,1228.354,1462.602,995.225
172,726.674,1613.255,1418.988,1230.286,892.883,1100.708,1045.041,923.414,1218.402,1522.098,1366.593,1228.854,1468.332,1001.105
173,732.498,1611.920,1420.315,1228.003,889.841,1100.028,1039.944,920.698,1218.496,1508.767,1363.786,1229.861,1467.057,997.568
174,721.600,1611.601,1420.292,1226.221,891.090,1096.438,1038.207,917.932,1220.448,1515.877,1367.495,1228.901,1460.966,998.069
175,713.762,1606.714,1416.476,1223.549,888.567,1095.382,1042.427,918.122,1217.901,1510.952,1363.795,1228.237,1466.626,994.339
176,716.355,1606.720,1416.037,1226.028,887.616,1093.010,1039.334,916.265,1218.937,1508.627,1360.042,1232.009,1466.505,993.018
177,725.064,1604.686,1417.197,1223.294,889.813,1093.656,1037.971,917.728,1222.223,1508.401,1357.543,1230.858,1462.395,993.418
178,720.738,1607.800,1414.175,1220.622,886.998,1092.507,1040.853,918.783,1219.643,1508.314,1356.625,1231.043,1457.776,984.564
179,719.409,1603.494,1411.168,1220.490,888.166,1089.409,1040.127,915.982,1216.877,1508.311,1360.948,1228.718,1452.684,987.875
180,728.510,1604.181,1415.743,1225.149,889.134,1091.163,1040.510,916.334,1220.074,1512.734,1356.966,1231.080,1454.917,992.388
181,728.184,1601.993,1410.411,1222.193,886.135,1088.652,1040.472,917.513,1221.707,1506.105,1363.397,1228.323,1457.150,985.473
182,724.826,1600.984,1408.199,1223.351,884.961,1089.170,1041.659,915.716,1218.320,1504.269,1358.065,1231.357,1453.588,987.305
183,719.931,1594.847,1407.997,1221.365,884.609,1088.251,1039.052,914.246,1216.736,1505.239,1355.777,1225.265,1445.549,985.084
184,724.904,1605.342,1414.958,1221.441,888.138,1089.365,1042.808,919.394,1220.111,1507.583,1358.910,1228.506,1452.620,990.650
185,723.806,1602.944,1409.704,1223.446,887.683,1089.592,1041.720,919.218,1220.497,1505.131,1361.577,1225.349,1454.362,986.874
186,722.858,1601.835,1416.210,1225.172,889.418,1094.848,1046.230,921.500,1220.903,1501.314,1360.214,1227.559,1461.405,992.467
187,721.292,1602.278,1415.071,1229.340,889.363,1096.147,1041.944,920.305,1218.166,1503.779,1360.354,1227.168,1464.204,991.577
188,728.098,1596.578,1408.151,1225.234,887.356,1095.954,1037.000,916.591,1217.700,1499.416,1354.545,1223.063,1449.219,988.652
189,725.115,1603.181,1416.406,1226.497,890.698,1094.293,1040.681,921.896,1224.494,1508.384,1362.482,1230.146,1456.059,990.272
190,723.926,1599.363,1413.016,1226.787,888.495,1091.696,1039.373,917.922,1222.012,1503.057,1360.056,1224.938,1453.629,988.383
191,730.799,1601.330,1415.734,1229.171,888.561,1097.318,1038.574,920.883,1228.928,1503.347,1356.119,1223.857,1461.764,983.402
192,729.757,1603.972,1423.489,1237.087,892.751,1101.215,1047.693,924.235,1229.526,1505.295,1361.337,1226.904,1461.833,989.874
193,728.490,1594.458,1414.211,1228.775,884.289,1092.954,1036.046,920.085,1218.425,1497.075,1355.694,1223.973,1460.153,981.554
194,726.939,1600.440,1421.330,1232.063,891.241,1097.965,1041.750,922.773,1224.719,1507.637,1362.547,1226.139,1460.953,991.168
195,715.179,1599.945,1418.817,1232.853,893.728,1100.772,1040.182,921.721,1224.528,1505.093,1358.376,1227.756,1458.734,988.544
196,725.566,1593.925,1413.821,1227.970,886.831,1091.562,1034.327,918.996,1221.879,1497.336,1357.160,1222.486,1456.451,984.901
197,734.417,1595.592,1412.545,1233.940,890.519,1095.400,1038.304,920.445,1225.716,1504.321,1356.455,1226.768,1454.023,985.492
