 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
3721,737.736,2051.079,1557.514,1722.312,1750.701,2170.207,2099.260,2135.730,1802.312,1727.950,1177.135,1713.530,1375.533,2007.845,3094.767,1737.024,1526.442,2085.927,1816.744,1737.170,1315.066,2884.498,1259.038
3722,740.026,2056.118,1555.838,1723.284,1754.656,2171.373,2107.112,2136.847,1800.107,1731.286,1180.957,1715.055,1377.183,2014.787,3102.983,1738.183,1526.084,2087.465,1814.962,1739.264,1315.908,2886.912,1259.542
3723,734.622,2035.973,1551.512,1712.964,1745.771,2154.760,2099.043,2127.478,1794.075,1723.462,1176.679,1704.607,1371.161,1998.888,3086.188,1732.764,1520.129,2080.461,1809.032,1730.005,1316.271,2877.471,1259.632
3724,737.922,2045.685,1556.696,1721.845,1750.633,2157.911,2097.373,2135.618,1798.434,1722.722,1176.558,1709.843,1372.813,2004.820,3092.961,1731.789,1526.542,2080.264,1807.565,1729.731,1320.965,2888.571,1259.724
3725,738.311,2043.146,1555.867,1716.900,1752.012,2164.475,2097.352,2131.647,1793.701,1724.111,1176.940,1704.596,1376.153,2001.439,3095.129,1734.420,1520.763,2078.221,1809.439,1730.666,1316.768,2881.776,1258.749
3726,736.866,2045.972,1554.387,1717.880,1757.462,2167.437,2108.740,2132.209,1792.944,1722.610,1177.377,1705.072,1378.324,2001.781,3092.836,1729.376,1527.464,2081.624,1813.253,1739.853,1321.547,2882.011,1255.480
3727,738.249,2047.882,1555.326,1721.757,1752.942,2161.905,2103.489,2142.326,1796.364,1723.053,1175.461,1710.394,1377.339,2008.692,3101.215,1727.411,1524.465,2083.338,1806.379,1735.798,1319.248,2882.211,1258.595
3728,739.157,2041.442,1553.894,1714.157,1761.080,2166.490,2099.146,2138.204,1799.877,1723.569,1177.863,1708.895,1378.807,2010.847,3097.481,1723.694,1522.319,2077.371,1803.349,1740.805,1315.176,2895.738,1258.270
3729,734.180,2045.778,1555.517,1721.269,1759.517,2170.806,2101.297,2141.605,1799.178,1718.512,1176.541,1708.242,1381.321,2000.946,3091.660,1734.351,1521.749,2078.691,1808.218,1738.446,1315.062,2889.302,1260.700
3730,738.491,2036.450,1555.683,1716.792,1760.598,2170.979,2100.983,2134.080,1795.831,1720.983,1178.200,1700.708,1378.658,2007.640,3092.129,1726.107,1524.703,2079.068,1811.693,1731.800,1319.009,2879.844,1256.579
3731,735.780,2042.711,1554.277,1720.076,1756.321,2178.604,2105.776,2135.401,1802.527,1724.181,1180.786,1711.066,1381.370,2001.245,3083.171,1728.381,1523.307,2084.139,1808.371,1740.119,1320.481,2878.392,1263.194
