Cell 121,Cell 255,Cell 370,Cell 372,Cell 375,Cell 378,Cell 388,Cell 390,Cell 396,Cell 409
175.08467,1003.57416,242.81633,4135.1436,134.00676,1330.4742,188.95566,86.79802,147.49516,318.23676
175.08467,898.4119,242.81633,3934.7983,134.00676,1240.4404,188.93513,86.79802,147.49399,318.23676
175.08467,799.13367,242.81633,3744.5427,134.00676,1157.1642,188.91551,86.79802,147.4929,318.23676
175.08467,705.41003,242.81633,4013.4814,134.00676,1080.1382,188.8967,86.79802,147.4919,318.23676
175.08467,616.93054,242.81633,3819.2632,134.00676,1008.89355,188.8787,86.79802,147.49098,318.23676
175.08467,533.40155,242.81633,3634.826,134.00676,942.9961,188.86145,86.79802,147.49011,318.23676
175.08467,657.2318,242.81633,3459.677,134.00676,882.0447,188.84496,86.79802,147.48932,318.23676
175.08467,571.4479,242.81633,3293.3486,134.00676,825.6681,188.82916,86.79802,147.48859,318.23676
175.08467,490.46368,242.81633,3135.3967,134.00674,773.5228,188.81404,86.79802,147.48792,318.23676
175.08467,505.53796,242.81633,2985.3994,134.00674,725.2914,188.79956,86.79802,147.48729,318.23676
175.08467,428.24155,242.81633,2842.956,134.00674,680.67993,188.78569,86.79802,147.48671,318.23676
175.08467,741.076,242.81633,2707.686,134.00674,639.4169,188.7724,86.79802,147.48618,318.23676
175.08467,650.6009,242.81633,2579.2283,134.00674,601.25085,188.7597,86.79802,147.48567,318.23676
175.08467,565.18805,242.81633,2457.2397,134.00674,565.9494,188.74753,86.79802,147.48521,318.23676
316.68127,484.55417,242.81633,2341.3948,134.00674,533.2975,1385.1674,86.79802,147.4848,318.23676
304.2566,641.6361,242.81633,2756.7507,134.00674,503.09634,1334.2089,86.79802,147.4844,318.23676
730.883,556.7249,242.81633,2625.8223,134.00674,475.16196,1285.4203,86.79802,147.48404,318.23676
682.11346,974.18097,242.81633,2501.4873,134.00674,449.3242,1238.7094,86.79802,147.4837,318.23676
637.62335,870.6633,242.81633,2383.414,134.00674,425.4257,1193.9873,86.79802,147.4834,318.23676
597.03705,772.93756,242.81633,2271.2869,134.00674,403.32092,1196.038,86.79802,147.48311,318.23676
560.0121,680.6797,242.81633,2164.8064,134.00674,382.87524,1153.1332,86.79802,147.48285,318.23676
526.23596,593.5838,242.81633,2063.6885,134.00674,363.9641,1112.0553,86.79802,147.4826,318.23676
495.42352,511.36127,242.81633,1967.6631,134.00674,346.4724,1072.7267,86.79802,147.48238,318.23676
467.31482,433.73904,242.81633,1876.4734,134.00674,330.29352,1035.0728,86.79802,147.48216,318.23676
441.67255,360.45984,242.81633,1789.8761,134.00674,315.32898,999.0223,86.79802,147.48198,318.23676
418.28033,291.28076,242.81633,1707.6399,134.00674,301.48758,964.5069,86.79802,147.4818,318.23676
396.94067,225.97243,242.81633,1629.5452,134.00674,288.68506,931.4613,86.79802,147.48163,318.23676
377.47354,164.31802,242.81633,1555.3833,134.00674,276.84344,899.8229,86.79802,147.48148,318.23676
359.71457,106.11339,242.81633,1484.9563,134.00674,265.89062,1298.4148,86.79802,147.48134,318.23676
343.5139,51.165413,242.81633,1418.076,134.00674,255.75987,1924.3715,86.79802,147.4812,318.23676
