Cell 19,Cell 25,Cell 59
23.197666,43.281673,4.6355104
22.856777,41.6087,4.6355104
22.539116,40.051647,4.6355104
27.865269,38.602474,4.6355104
27.206364,37.25371,4.6355104
26.59235,40.845963,4.6355104
26.020174,39.341755,4.6355104
25.48698,37.94177,4.6355104
24.990114,36.63879,4.6355104
24.527103,35.42609,4.6355104
24.095636,34.297413,4.6355104
23.693567,33.24694,4.6355104
23.318893,32.269257,4.6355104
22.969746,31.359312,4.6355104
22.644388,30.512417,4.6355104
22.341198,29.7242,4.6355104
22.058664,28.990599,4.6355104
21.79538,28.307825,4.6355104
21.550034,27.672361,4.6355104
21.321405,27.080927,4.6355104
21.108353,26.53047,4.6355104
20.909817,26.018156,64.19767
20.724808,25.541338,60.658764
20.552404,25.097557,57.330128
20.391747,24.684526,54.19926
20.242035,24.300112,51.254417
20.102524,23.942335,48.484543
19.972517,23.609346,45.879242
19.85137,23.299429,43.428734
19.738476,23.010986,41.123825
19.633274,22.742529,38.95586
19.53524,22.492674,36.916706
19.443884,22.260128,34.99871
19.358753,22.043697,33.19467
19.279423,21.84226,31.497822
19.205498,21.654783,29.90179
19.136608,21.480293,28.400589
19.072414,21.317896,26.988579
19.012592,21.16675,25.660465
18.956846,21.026075,24.411263
18.9049,20.89515,23.236282
18.856491,20.773294,22.131111
18.811382,20.659882,275.0267
18.769344,20.554327,258.96133
18.730173,20.456087,272.39053
18.69367,20.364655,524.71423
18.659653,20.279556,988.6905
18.627954,20.200354,1587.3799
18.598415,20.12664,1883.7424
18.570889,20.058033,2162.881
18.545238,19.99418,2302.349
18.521336,19.934752,2165.8298
18.49906,19.87944,2093.7336
18.478304,19.827963,2181.6118
18.458961,19.78005,2052.266
18.440935,19.735458,1930.6056
18.424139,19.693956,1857.1406
18.408487,19.655329,1851.9513
18.3939,19.619379,1742.1925
18.380308,19.585918,1689.2849
18.367641,19.554777,1749.7124
18.355839,19.525795,1646.0282
18.344841,19.49882,1548.5044
18.33459,19.473713,1456.775
18.325039,19.450346,1408.5797
18.31614,19.428598,1325.164
18.307846,19.408358,1246.7043
18.300116,19.38952,1178.3055
18.292913,19.371986,1108.5717
18.286201,19.355669,1042.981
18.279947,19.34048,981.28735
18.27412,19.326345,923.25934
18.268688,19.31319,972.9449
18.263628,49.84904,915.41254
18.258911,47.721027,861.29846
18.254517,45.74046,810.3996
18.250422,43.89712,762.5249
18.246605,42.181507,717.4947
18.243048,40.58476,675.13995
18.239735,39.09865,635.30176
18.236647,37.71551,597.83057
18.233768,36.428207,562.5857
18.231087,35.2301,631.7489
18.228586,34.115,594.4888
18.226257,33.077168,559.44244
18.224089,32.111248,540.8235
18.222065,31.212252,508.96573
18.22018,30.375546,479.0008
18.218426,29.596811,450.81625
18.21679,28.872036,462.75977
18.215263,28.197477,435.5402
18.213842,27.569658,409.93787
18.212519,70.96798,473.03748
18.211285,67.37668,445.20724
18.210135,64.03421,419.03055
18.209063,60.923336,394.40915
18.208065,58.02801,430.04044
18.207134,55.333294,404.7649
18.206266,52.825283,380.9911
18.205458,50.491055,461.4943
18.204706,48.318558,434.3499
18.204004,46.29659,438.21307
18.20335,44.41472,413.43616
18.20274,108.10966,474.53323
18.202173,101.944885,446.61414
18.201643,96.20725,420.35385
18.20115,90.86717,395.65384
18.200691,85.897095,488.8319
18.200262,81.271385,603.9369
18.199863,76.96618,586.3953
18.199492,72.959274,559.805
18.199146,69.23,526.81946
18.198822,65.75912,495.79376
