Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
1967.648,33.052654,42.486397,27.298462,20.790182,182.28645,57.212524,517.77856,108.39543,38.10038,101.92102,37.47102
1933.4222,33.046997,41.42684,25.23231,18.98987,165.1272,55.10512,479.1424,104.21993,35.33176,97.16373,37.448402
1959.3146,33.041725,40.422546,23.314161,17.334976,148.7479,53.15706,442.76776,100.287704,32.725597,92.724785,37.42672
2130.1812,33.036816,39.47062,36.44255,15.813755,273.26398,51.356285,408.5223,132.63531,102.428055,88.58289,37.405933
2123.3936,33.032238,38.568336,39.645218,14.415408,251.96953,49.691666,376.2813,127.04758,95.88485,87.84871,37.38601
2036.4409,33.027977,37.713104,36.694633,13.130012,231.643,48.15291,592.9934,121.785385,123.751595,84.03311,37.366905
1930.6781,33.024002,36.90247,33.95541,11.9484415,212.24037,46.73049,549.95465,116.82977,115.95717,80.47285,37.348595
2084.2417,33.0203,36.13411,31.412403,10.862311,193.71962,45.415627,509.43515,112.16288,108.6201,77.150826,37.33104
1975.9874,33.016853,35.40582,37.482983,9.863913,191.19781,44.200176,471.28735,107.76788,101.713554,74.05112,37.31421
2038.7953,33.013645,34.715504,34.687286,8.946158,173.63356,43.076622,435.3725,103.628944,95.212265,71.15884,37.298077
1955.172,33.01065,34.061188,32.091854,8.102534,156.86761,42.03802,401.55984,99.73115,89.09246,68.4601,37.282608
1853.645,33.007862,33.440994,29.68234,7.327053,140.86374,41.07795,369.72644,96.06044,83.33174,65.94195,37.26778
1757.4098,33.005264,32.853146,50.008427,6.614211,125.5873,40.190464,339.75632,92.60359,77.90906,63.592316,37.253567
1666.1904,33.002842,32.295948,46.3155,5.958948,111.0052,39.370083,311.54047,89.348145,72.80456,61.399914,37.23994
1579.7256,33.000587,31.767807,42.887108,5.356613,97.08595,38.61173,284.97617,86.282364,67.99958,59.354225,37.22688
1497.7675,32.99849,31.26721,39.7043,4.8029313,203.60149,37.910713,259.9668,83.3952,63.476547,57.44543,37.214355
1420.081,47.212223,30.792717,36.749485,4.2939725,263.1026,37.2627,303.05197,80.67624,59.218918,55.66437,37.20235
1346.4437,46.239548,30.342968,34.006332,3.826124,242.27002,36.663685,276.98456,78.11569,55.211113,54.002495,37.19084
1276.6445,45.333298,29.916672,31.459679,3.3960657,222.38435,36.10996,288.23035,75.70433,51.438473,52.451828,37.17981
1210.4834,44.488945,29.512608,29.09545,3.0007448,203.40254,35.5981,263.0305,73.43346,47.887207,51.004932,37.16923
1147.7706,43.70225,29.129612,26.900574,2.6373558,185.28351,35.12494,287.0448,71.294876,44.54432,49.654854,37.159092
1088.3265,42.96929,28.76659,73.68301,2.303319,167.98808,34.687557,261.91434,69.2809,93.59941,48.395123,37.149372
1031.9807,42.286385,28.4225,68.294205,1.9962639,208.06927,34.283245,354.8555,67.38426,87.57424,47.219692,37.140057
978.5717,48.06687,28.096354,63.291412,1.7140104,189.73813,90.37632,325.75583,65.59812,100.133514,46.12292,37.131123
