Cell 9,Cell 21,Cell 61,Cell 63,Cell 76
2.38765,-36.411938,-9.811645,71.07354,1446.77
2.38765,-36.732418,-9.811645,71.07354,1421.7788
2.38765,-37.039173,-9.811645,71.07354,1417.7654
2.38765,-37.332794,-9.811645,71.07354,1342.9501
2.38765,-37.613842,-9.811645,71.07354,1272.0139
2.38765,-37.882854,-9.811645,71.07354,1282.39
2.38765,-38.140347,-9.811645,71.07354,1214.5938
2.38765,-38.386814,-9.811645,71.07354,1150.3127
2.38765,-38.622726,-9.811645,71.07354,1100.8793
2.38765,-38.848537,-9.811645,71.07354,1109.9141
2.38765,-39.06468,-9.811645,71.07354,1051.0605
2.38765,-39.27156,-9.811645,71.07354,995.2586
2.38765,-39.46959,-9.811645,71.07354,942.3499
2.38765,-39.659134,-9.811645,71.07354,892.1845
2.38765,-39.84056,-9.811645,71.07354,844.6201
2.38765,-40.01422,-9.811645,71.07354,799.5219
2.38765,-40.180447,-9.811645,71.07354,756.762
2.38765,-40.33955,-9.811645,71.07354,716.2192
2.38765,-40.491844,-9.811645,71.07354,677.77844
