Cell 3,Cell 19,Cell 29,Cell 46,Cell 51,Cell 60,Cell 61,Cell 62,Cell 64,Cell 67,Cell 68,Cell 70,Cell 76,Cell 77,Cell 86
71.19959,16.575146,75.02884,67.1473,44.39982,-371.3573,82.05725,-8.096626,49.89957,6.0974803,29.054321,50.19697,160.9456,-7.573504,36.80399
71.12652,16.427427,63.918873,67.14574,40.45502,-397.66446,82.04599,-19.541924,49.887516,5.7214417,29.054321,50.195885,251.16016,-7.589937,36.80399
71.05713,16.289772,53.59155,67.14431,36.972507,-422.3018,581.8479,-30.443739,49.87608,5.3655634,29.054321,50.19486,236.4378,-7.605536,36.80399
70.99126,16.161497,43.991703,67.143,33.898094,-445.37527,555.269,-40.82789,49.865227,5.0287647,29.054321,50.193882,222.46753,-7.6203423,36.80399
70.9287,16.041964,35.06812,67.14179,31.183966,-466.9842,530.103,-50.718933,49.854923,4.7100224,29.054321,50.192963,209.2109,-7.6343966,36.80399
70.869316,15.930576,26.773132,67.14069,28.787897,-487.2215,759.5007,-60.14031,49.845146,4.4083686,29.054321,50.192085,196.63148,-7.6477365,36.80399
70.81293,15.826778,19.062475,67.13967,196.03973,-506.17426,723.4782,117.847374,49.83587,4.122887,29.054321,50.191257,184.69467,-7.6603994,36.80399
70.75939,15.730055,11.894991,67.13875,174.3247,-523.924,2376.463,100.4216,49.82706,3.852711,29.054321,50.190475,173.36763,-7.6724186,36.80399
70.70856,15.639922,5.232397,67.137886,155.1544,-540.5471,4331.6206,83.823265,49.818703,3.59702,29.054321,50.18973,162.61922,-7.6838274,36.80399
70.660286,15.55593,-0.96085316,67.1371,138.2306,-556.11505,7236.9956,68.01309,49.810772,3.3550363,29.054321,50.189026,152.41986,-7.694657,36.80399
70.614456,15.477662,-6.7178354,67.13638,123.29006,-570.6948,10748.654,52.953735,49.80324,3.1260262,29.054321,50.188362,142.74153,-7.704936,36.80399
70.570946,15.404728,-12.069266,67.13572,110.10035,-584.34924,16010.938,38.609417,49.796097,2.909294,29.054321,50.18773,133.5576,-7.714693,36.80399
70.52963,15.336763,-17.043736,67.13512,98.45631,-597.1369,22544.525,24.946274,49.789318,2.7041812,29.054321,50.18713,124.84282,-7.723954,36.80399
70.4904,15.27343,-21.667776,67.13456,88.176796,-609.11285,26759.71,73.126015,49.782883,2.510065,29.054321,50.18656,116.57323,-7.732745,36.80399
70.453156,15.214414,-25.966084,67.13405,79.101906,-620.3286,27980.258,57.823826,49.776775,2.326356,29.054321,50.186028,108.726074,-7.74109,36.80399
70.41779,15.159417,-29.961605,67.133575,71.09048,-630.8325,28960.312,43.24826,49.770977,2.1524959,29.054321,50.185516,101.279785,-7.74901,36.80399
70.38422,15.108169,-33.675667,67.13315,64.017876,-640.6697,29015.465,29.364845,49.765476,1.9879569,29.054321,50.185036,94.21387,-7.7565284,36.80399
70.35234,15.060413,-37.128098,67.13275,57.774105,-649.88245,28446.951,16.140657,49.760254,1.8322394,29.054321,50.184578,93.06204,-7.7636647,36.80399
70.32207,15.015911,-40.33733,67.132385,52.262016,-658.5105,28147.346,3.544444,49.7553,55.742725,29.054321,50.184147,86.415924,-7.770438,36.80399
70.29333,14.974443,-43.32049,67.13206,47.395874,-666.5908,27519.41,-8.453632,49.750595,52.70509,29.054321,50.183735,80.10931,-7.776868,36.80399
70.26604,14.9358,-46.09351,67.13175,43.09998,-674.15826,27312.76,-19.881973,49.74613,49.83031,29.054321,50.18335,74.124855,-7.782971,36.80399
70.24013,14.89979,-48.671185,67.13147,39.307507,-681.24536,26755.584,-30.767633,49.741898,47.109653,29.054321,50.18298,68.44611,-7.788764,36.80399
70.21552,14.866234,-51.067284,67.13122,35.959465,-687.88257,25971.123,-41.136402,49.737877,44.53486,29.054321,50.182632,63.057465,-7.794263,36.80399
70.19217,14.834964,-53.294586,67.13098,33.00377,-694.0986,24636.127,-51.012806,49.734062,44.30023,29.054321,50.1823,57.944084,-7.7994823,36.80399
70.16999,14.805825,-55.36499,67.13077,30.394445,-699.92,24281.47,-60.420216,49.730442,41.876053,29.054321,50.181988,53.09191,-7.8044367,36.80399
70.14893,14.778672,-57.28955,67.13056,28.090899,-705.3719,23429.715,-69.38091,49.727005,75.91038,29.054321,50.181694,48.48761,-7.8091393,36.80399
70.12894,14.753369,-59.078537,67.13038,26.057297,-710.4777,23819.137,-77.91612,49.723743,71.79151,29.054321,50.18141,44.118507,-7.813603,36.80399
70.109955,14.729791,-60.7415,67.13021,24.262007,-715.25946,22559.9,-86.04601,49.720646,72.205246,29.054321,50.181145,39.972595,-7.81784,36.80399
70.09193,14.70782,-62.287323,67.13006,22.677103,-719.7377,22152.82,-93.78987,49.71771,68.28502,29.054321,50.180893,36.038475,-7.8218617,36.80399
70.074814,14.6873455,-63.724247,67.12991,21.277927,-723.9317,21472.54,209.28142,49.71492,64.57497,29.054321,50.180656,32.30532,-7.8256793,36.80399
70.05856,14.668265,17.703934,67.12979,20.042719,-727.8595,20335.465,187.51389,49.712273,61.063816,29.054321,50.18043,28.76287,-7.829303,36.80399
70.04314,14.650486,10.63214,67.12967,18.95226,-731.53796,19468.887,166.77995,49.709763,57.740906,29.054321,50.180218,193.33606,-7.832742,36.80399
